image nr;Description;Food classification;Complexity (amount, number of items);Natural vs transformed;Sweet vs savory;State of food;Food vs nonfood;FPC;S;P;C;E;H;SS;AN;  CRjpeg;  CRgif;FC;SE;NPO;  MIGh; MIGs; MIGv ;MGS;NC;CF;R;G;B;Average_Valence_ALL;St_dev_Valence_ALL;Average_Valence_UK;St_dev_Valence_UK;Average_Valence_US;St_dev_Valence_US;Average_Valence_JP;St_dev_Valence_JP;Average_Arousal_ALL;St_dev_Arousal_ALL;Average_Arousal_UK;St_dev_Arousal_UK;Average_Arousal_US;St_dev_Arousal_US;Average_Arousal_JP;St_dev_Arousal_JP;Average_Health_ALL;St_dev_Health_ALL;Average_Health_UK;St_dev_Health_UK;Average_Health_US;St_dev_Health_US;Average_Health_JP;St._dev_Health_JP;Average_Desire_ALL;St_dev_Desire_ALL;Average_Desire_UK;St_dev_Desire_UK;Average_Desire_US;St_dev_Desire_US;Average_Desire_JP;St_dev_Desire_JP
25;Blueberries;Universal;Complex;Natural;Sweet;;Food;0.1882;4.2820;68.0842;0.0585;0.3446;0.9781;0.3904;0.0010;0.3043;0.0969;2.495;2.0296;0.2333;0.0653;0.0397;0.0720;0.3275;877;5.4340;0.3295;0.3228;0.3477;66.67;22.11;61.97;22.64;76.17;18.4;61.47;22.47;54.77;27.36;40.23;28.39;65.46;26.35;56.92;22.1;84.39;13.45;88.77;9.15;86.74;13.43;78.33;14.66;64.18;28.21;56.61;29.53;74.51;27.34;60.64;25.55
26;Carrot;Universal;1;Natural;Savory;Raw;Food;0.1922;4.3781;66.3820;0.0340;0.3557;0.9853;0.4562;0.0010;0.2830;0.0784;2.596;1.8923;0.1750;0.0319;0.0386;0.1015;0.2255;1478;55.4425;0.6142;0.2830;0.1028;48.55;25.41;53.5;23.79;50.77;23.13;40.03;28.37;36.43;26.76;39.03;26.79;31.54;26.89;39;26.67;86.17;15.12;90.78;12.94;86.66;14.15;80.07;16.94;40.64;29.18;44.28;27.31;44.34;29.94;31.97;29.57
27;Carrot, cut;Universal;1;Natural;Savory;Raw;Food;0.1990;4.4958;65.9796;0.0378;0.3508;0.9846;0.4629;0.0010;0.2817;0.0850;2.561;1.9110;0.2317;0.0312;0.0337;0.0958;0.2410;1900;59.9414;0.6480;0.2793;0.0727;50.34;27.36;51.44;25.55;61.9;24.58;35.85;25.72;43.25;28.63;38.74;28.16;53.3;28.94;35;25.68;83.95;15.31;87.56;9.75;89.55;9.31;74.5;19.81;43.49;29.2;44.48;28.19;54.83;30.41;29.35;22.4
28;Carrot, parts;Universal;Complex;Natural;Savory;Raw;Food;0.4034;4.7372;65.6953;0.0411;0.3007;0.9819;0.4712;0.0010;0.3144;0.1003;2.757;2.0505;0.2167;0.0284;0.0410;0.0953;0.3087;1988;88.7405;0.6577;0.2911;0.0512;43.84;23.79;49.23;22.29;46.21;24.38;36.91;23.45;32.63;22.93;33.73;25.59;28.5;22.05;35.69;21.37;79.27;18.85;84.93;14.85;83.62;15.31;70.2;21.83;36.61;27.85;47.53;30.28;39.79;27.73;24.14;20.79
29;Cashew nuts;Universal;Complex;Natural;Savory;;Food;0.3117;4.7125;66.9490;0.0541;0.3561;0.9773;0.4326;0.0010;0.3250;0.1047;2.814;2.2994;0.2733;0.0625;0.0665;0.1153;0.4170;1593;49.0808;0.4866;0.3527;0.1606;64.44;22.21;63.21;22.57;70.97;20.26;60.06;22.7;52.83;24.94;51.4;26.2;57.72;27.24;50.14;21.07;62.7;20.35;65.33;19.79;67.5;15.11;55.36;23.33;59.73;27.68;59.76;29.46;66.91;25.3;53.31;26.7
30;Chips, Doritos;Universal;Complex;Transformed;Savory;;Food;0.6491;4.9441;69.4144;0.0869;0.3980;0.9614;0.5392;0.0009;0.4159;0.1382;3.302;2.5639;0.1467;0.0428;0.1148;0.1519;0.6427;1540;88.9290;0.5242;0.3866;0.0891;56.48;24.38;56.89;25.69;63.84;24.27;48.88;21.22;49.08;26.81;44.33;29.29;54.59;27.33;48.91;22.97;22.45;18.44;21.17;17.81;23.13;22.53;23.18;14.86;49.82;30.13;44.28;31.78;59.25;33;46.73;23.3
31;Chips, Lays natural;Universal;Complex;Transformed;Savory;;Food;0.6258;4.7115;65.8290;0.0474;0.4067;0.9785;0.5129;0.0010;0.3733;0.1275;3.080;2.4768;0.1800;0.0340;0.0973;0.1123;0.5025;1573;70.1055;0.4369;0.3870;0.1760;61.44;22.23;64.65;23.95;55.78;21.77;65.19;20.6;59.06;24.64;59.92;22.9;52.78;27.22;65.44;21.76;15.29;13.27;12.08;8.33;13.03;16.31;20.44;11.4;61.21;28.34;64.88;27.18;52.86;31.92;67.63;23
32;Chocolate doughnut;Western;4;Transformed;Sweet;;Food;0.2828;5.0164;67.9650;0.0711;0.3129;0.9718;0.4326;0.0011;0.3542;0.1138;2.851;2.3331;0.3283;0.0549;0.1066;0.1066;0.5201;1762;43.1052;0.4704;0.3444;0.1852;73.63;19.82;74.81;19.83;75.29;21.04;70.5;18.66;66.4;22.29;68.81;23.83;67.49;22.38;62.5;20.5;17.57;16.53;10.94;13.1;15.83;16.33;26.94;16.38;61.75;28.48;57.39;31.67;61.69;29.22;66.72;23.51
33;Cucumbers, halfs;Universal;2;Natural;Savory;Raw;Food;0.2410;4.6808;65.3390;0.0430;0.3431;0.9832;0.4410;0.0011;0.2880;0.0934;2.620;1.8868;0.2233;0.0345;0.0464;0.0803;0.2793;771;21.0444;0.3848;0.4421;0.1730;55.97;23.71;55.81;27.74;61.24;18.94;50.09;23.19;41.12;25.82;38.97;24.69;43.05;27.72;41.24;25.38;85.28;11.95;88.36;10.47;86.68;10.16;80.3;13.97;45.83;29.19;43.11;31.55;50.21;27.58;43.76;28.6
34;Cucumber, halfs overlay;Universal;2;Natural;Savory;Raw;Food;0.2417;4.5772;66.8988;0.0460;0.3298;0.9814;0.4166;0.0011;0.3007;0.0892;2.633;1.9603;0.2333;0.0330;0.0700;0.1176;0.3153;1047;21.1761;0.3756;0.4338;0.1906;55.88;25.31;61;24.61;54.51;26.68;51.76;24.36;42.34;27.13;42.39;29.58;42.66;27.17;41.94;25.05;80.61;20.31;87.25;17.67;81.26;18.07;72.67;22.89;47.77;31.06;52.42;31.85;44.89;32.96;45.76;28.34
35;Cucumber, halfs overlay, washed;Universal;2;Natural;Savory;Raw;Food;0.2392;4.7154;66.4544;0.0398;0.3306;0.9846;0.4350;0.0011;0.2881;0.0913;2.489;1.9261;0.2717;0.0335;0.0612;0.0610;0.2692;1092;22.7212;0.3831;0.4691;0.1478;55.4;23.96;60.12;24.81;55;23.26;50.97;23.65;41.73;27.07;39.15;27.53;41.11;30.47;45.06;22.78;81.07;15.31;87.85;11.12;82.58;12.76;72.42;17.7;45.34;31.08;49.53;30.28;44.42;35.75;42.03;26.56
36;Cucumberhalf + parts;Universal;2;Natural;Savory;Raw;Food;0.3372;4.9875;68.3219;0.0688;0.3438;0.9730;0.5144;0.0010;0.3531;0.1084;2.916;2.4354;0.2800;0.0425;0.1116;0.1063;0.4727;1217;38.1180;0.3872;0.4104;0.2024;58.92;23.41;65.1;22.49;60.06;23.25;52.21;23.3;46.3;26.23;51.58;28.34;47.03;26.47;40.79;23.54;83.26;15.37;88.52;10.4;83.31;16.43;78.41;16.88;45.8;29.36;48.48;32.56;47.5;32.06;41.76;23.48
37;Eggs on bread;Western;2;Transformed;Savory;;Food;0.4833;4.9196;68.2077;0.0678;0.3658;0.9693;0.5128;0.0010;0.3822;0.1138;3.038;2.6700;0.1917;0.0491;0.1116;0.1291;0.6086;2486;61.2141;0.4361;0.3671;0.1968;55.48;25.12;64.75;23.91;57.68;24.63;44.84;23.49;49.19;27.29;57.75;28.25;47.16;29.71;44.03;22.07;40.46;18.42;42.89;21.15;38.86;18.27;40.19;16.28;52.13;30.03;56.21;32.68;53.43;32.63;47.06;24.14
38;Raspberries;Universal;Complex;Natural;Sweet;Raw;Food;0.2367;4.3112;68.6545;0.0615;0.3420;0.9774;0.4112;0.0010;0.3114;0.0928;2.552;2.0370;0.2483;0.0565;0.0666;0.1074;0.3723;1336;44.3298;0.7212;0.1326;0.1462;68.16;22.78;75.36;20.06;73.85;23.44;56.36;19.93;60.56;26.15;66.39;27.8;62.58;28.37;53.61;21.12;80.33;16.5;88.07;13.03;83.09;16.57;71;14.94;62.3;31.05;64.46;32.05;71.33;30.29;51.42;28.43
39;Raspberries + blueberries;Universal;Complex;Natural;Sweet;Raw;Food;0.3525;4.6411;69.7218;0.0841;0.2924;0.9653;0.4506;0.0010;0.3661;0.1104;2.688;2.1850;0.2700;0.0950;0.0993;0.1279;0.5363;2299;47.2290;0.5245;0.2294;0.2460;77.98;19.92;80.11;15.7;86.72;13.88;66.9;24.47;68.56;24.63;64.32;24.46;82.38;21.13;60.43;23.03;85.56;16.22;86.97;14.02;92.97;7.03;76.67;20.76;74;25.36;71.78;24.75;85.52;19.66;65.6;27.6
40;Frikandel;Western;2;Transformed;Savory;;Food;0.1544;4.4536;65.8786;0.0417;0.3771;0.9845;0.4669;0.0010;0.2839;0.0940;2.628;1.8618;0.1950;0.0349;0.0371;0.0849;0.2746;757;26.5074;0.5737;0.3071;0.1192;40.24;24.09;48.64;27.23;37.68;23.77;35.76;20.19;35.43;23.96;36.29;26.07;33.76;27.84;36.42;17.58;27.19;20.05;20.68;16.64;21.97;18.98;38.09;19.67;39.68;27.76;47.46;30.13;37.56;30.93;35.27;20.8
41;Frikandel parts;Western;4;Transformed;Savory;;Food;0.1501;4.4356;66.2745;0.0367;0.3705;0.9848;0.4514;0.0010;0.2813;0.0851;2.547;1.8597;0.2233;0.0328;0.0413;0.0856;0.2446;964;25.9569;0.5547;0.3100;0.1353;36.44;23.67;45.88;22.91;38.85;25.63;25.54;17.97;31.59;22.77;36.94;24.66;31.7;24.6;26.6;18.26;28.24;18.61;30.84;17.68;29.64;20.57;24.54;17.4;30.73;26.38;38.59;26.84;34.85;28.41;19.66;20.2
42;Mixed nuts;Universal;Complex;Transformed;Savory;;Food;0.2835;4.7377;69.0375;0.0714;0.3299;0.9707;0.4254;0.0010;0.3419;0.1070;2.804;2.3849;0.2700;0.0579;0.0833;0.1252;0.4982;2010;48.5104;0.5290;0.3374;0.1336;59.44;26.23;53.77;29.97;66.66;22.37;57.82;25.15;53.87;27.75;47.94;32.43;62.47;24.38;51.18;24.78;66.03;23.15;58.77;29.19;77.97;13.25;61.41;20.22;58.26;30.57;49.45;32.9;68.94;25.84;56.24;30.32
43;Orange cut;Universal;1;Natural;Sweet;Raw;Food;0.2476;4.6159;64.2171;0.0298;0.3596;0.9867;0.4442;0.0010;0.2822;0.0871;2.614;1.9303;0.2567;0.0384;0.0310;0.0803;0.2886;1869;65.7017;0.5807;0.3638;0.0555;73.56;19.39;71;21.43;76.43;20.2;74.11;16.26;61.85;25.51;58.33;27.22;59.79;28.82;67.43;19.9;84.05;14.65;87.46;11.08;82.21;18.18;81.71;14.68;64.01;28.62;57.21;31.84;64.29;27.39;71.37;24.41
