image nr;Description;Food classification;Complexity (amount, number of items);Natural vs transformed;Sweet vs savory;State of food;Food vs nonfood;FPC;S;P;C;E;H;SS;AN;  CRjpeg;  CRgif;FC;SE;NPO;  MIGh; MIGs; MIGv ;MGS;NC;CF;R;G;B;Average_Valence_ALL;St_dev_Valence_ALL;Average_Valence_UK;St_dev_Valence_UK;Average_Valence_US;St_dev_Valence_US;Average_Valence_JP;St_dev_Valence_JP;Average_Arousal_ALL;St_dev_Arousal_ALL;Average_Arousal_UK;St_dev_Arousal_UK;Average_Arousal_US;St_dev_Arousal_US;Average_Arousal_JP;St_dev_Arousal_JP;Average_Health_ALL;St_dev_Health_ALL;Average_Health_UK;St_dev_Health_UK;Average_Health_US;St_dev_Health_US;Average_Health_JP;St._dev_Health_JP;Average_Desire_ALL;St_dev_Desire_ALL;Average_Desire_UK;St_dev_Desire_UK;Average_Desire_US;St_dev_Desire_US;Average_Desire_JP;St_dev_Desire_JP
123;Greek salad;Universal;Complex;Transformed;Savory;Very molded;Food;0.3640;4.8744;68.6423;0.0786;0.2879;0.9670;0.4526;0.0010;0.3736;0.1176;2.822;2.3489;0.3067;0.0691;0.1124;0.1455;0.5203;1918;19.5968;0.4010;0.3489;0.2501;5.49;10.99;4.44;7.05;5.09;10.92;7.25;14.62;18.66;29.08;13.26;23.39;21.97;32.44;21.18;31.06;17.49;25.9;17.76;24.37;19.59;29.04;14.61;24.28;4.78;11.41;2.53;3.16;6.32;16.24;5.64;10.64
124;Spicy chicken wrap;Western;2;Transformed;Savory;;Food;0.1730;4.3886;65.8706;0.0346;0.3698;0.9856;0.4221;0.0010;0.2792;0.0858;2.439;1.9124;0.2667;0.0458;0.0390;0.0835;0.2682;2079;42.0675;0.5328;0.3440;0.1232;55.88;22.41;51.03;19.64;58.89;22.48;56.76;24.49;49.95;23.69;45.76;22.39;51.86;25.23;51.48;23.26;47.02;19.18;51.69;16.1;46.08;20.2;43.97;20.26;44.27;26.73;42.31;25.34;45.05;29.2;45.12;25.71
125;Fried cod bits;Western;Complex;Transformed;Savory;;Food;0.4322;4.8640;70.0249;0.0909;0.2657;0.9601;0.4592;0.0010;0.3947;0.1201;2.930;2.1666;0.2650;0.0373;0.1212;0.1441;0.5888;1791;57.8572;0.5969;0.3106;0.0926;63.09;25.4;56.86;26.67;60.77;24.33;71.03;24.06;57.34;29.15;44.76;29.93;56.6;29.63;69.18;23.33;28.23;24.46;19.83;21.93;28.94;26.9;34.85;22.28;58.8;31.28;52.38;34;54.4;31.94;69.12;25.9
126;Fried cod bits with sauce;Western;Complex;Transformed;Savory;;Food;0.4245;4.9404;69.5422;0.0825;0.2750;0.9637;0.4912;0.0010;0.3847;0.1155;2.939;2.1746;0.2600;0.0363;0.1127;0.1322;0.5549;1824;56.1520;0.5180;0.3206;0.1614;60.47;26.15;53.97;29.53;61.68;22.59;65.4;26.04;57.17;28.3;46.03;30.34;60;25.47;64.73;26.86;22.94;19.49;19.31;16.32;24.44;22.08;24.73;19.32;52.3;31.65;43.69;34.23;51.38;31.25;61.67;27.75
127;Kroepoek (prawn chips);Universal;Complex;Transformed;Savory;;Food;0.7155;4.9537;66.9830;0.0616;0.4020;0.9724;0.4905;0.0009;0.3901;0.1265;3.108;2.3560;0.2333;0.0614;0.0772;0.1196;0.4331;1065;30.1435;0.3750;0.3425;0.2825;50.03;22.17;51.66;23.42;50.47;25.02;47.88;17.25;38.96;22.41;37.16;22.8;38.76;24.44;41;19.91;30.31;18.66;28.75;19.87;29.87;19.18;32.41;17.13;40.52;26.3;38.22;25.58;38.18;29.03;45.59;23.54
128;M&M's chocolate;Universal;Complex;Transformed;Sweet;;Food;0.3089;4.7681;66.7944;0.0557;0.3091;0.9785;0.3849;0.0010;0.3293;0.0820;2.720;2.3003;0.3717;0.0568;0.0773;0.1233;0.5576;8104;64.6102;0.3785;0.4041;0.2175;67.2;24.64;68.64;23.06;75.18;24.63;57.79;23.72;59.73;27.74;60.55;31.89;62.09;29.86;56.55;20.74;16.34;17.78;10.27;9.84;13.15;20.29;25.61;17.94;52.36;31.94;56.12;34.71;53.55;33.74;47.42;27.2
129;Bananachips;Universal;Complex;Transformed;Sweet;;Food;0.4787;4.8938;68.8025;0.0765;0.3812;0.9682;0.4443;0.0010;0.3748;0.1181;3.082;2.5620;0.1867;0.0549;0.0994;0.1226;0.5562;1491;49.8848;0.4407;0.3649;0.1944;50.48;24.9;44.07;29.22;58.32;22.2;47.19;21.58;39.8;26.15;35.93;28.04;41;28.06;42;22.08;61.99;23.31;54.07;23.81;64.95;23.34;65.91;21.63;44.58;27.98;37;28.67;51.32;30.86;43.69;21.97
130;Eggcookies;Western;5;Transformed;Sweet;;Food;0.4690;4.8790;69.6880;0.0801;0.2757;0.9627;0.4627;0.0010;0.3823;0.1176;2.982;2.0336;0.1017;0.0314;0.0976;0.1536;0.4618;1437;65.7248;0.5992;0.3193;0.0814;58.06;21.27;62.9;19.01;58.11;24.09;53.47;19.43;48.36;23.15;45.9;23.63;50.94;27.68;47.75;16.6;32.47;17.19;27.97;14.97;29.72;18.75;39.78;15.3;51.6;24.26;51.6;24.36;51.61;29.11;51.59;18.16
131;Eggcookies piled;Western;5;Transformed;Sweet;;Food;0.2730;4.7417;67.3359;0.0479;0.3227;0.9783;0.3866;0.0010;0.3142;0.0914;2.743;1.9262;0.1300;0.0365;0.0591;0.1080;0.3267;1527;52.8892;0.5843;0.3203;0.0954;61.95;21.53;65.11;17.7;66.51;20.82;54.21;23.45;49.49;26.46;43.93;28.85;54.51;26.06;48.15;24.61;30.27;17.54;26.67;17.64;29.03;18.13;34.56;16.39;51.48;30.23;50.3;32.01;53.9;33.59;49.65;24.97
132;Wilhelmina peppermints;Western;Complex;Transformed;Sweet;;Food;0.3618;4.6484;66.0418;0.0312;0.3341;0.9885;0.4342;0.0009;0.2767;0.0992;2.505;2.4880;0.2250;0.0712;0.0392;0.0729;0.2276;516;9.2397;0.3387;0.3348;0.3265;28.77;23.67;33.38;26.4;22.03;21.24;30.33;21.82;21.3;21.22;24.57;22.09;15.45;19.38;23.48;21.41;23.83;19.18;23.14;17.6;19.3;17.9;29.15;21.29;18.49;20.44;19.05;21.63;13.27;17.35;23.06;21.31
133;Tuc bell pepper;Western;Complex;Transformed;Savory;;Food;0.4164;4.8587;68.8594;0.0766;0.3021;0.9650;0.4004;0.0009;0.3772;0.1171;3.120;2.2924;0.0783;0.0568;0.0637;0.1490;0.5393;1627;80.7683;0.5947;0.3582;0.0472;50.5;20.15;47.66;19.43;54.28;21.96;49.12;18.67;38.46;21.77;37.41;22.87;37.58;24.78;40.42;17.22;38.58;19.85;35.44;18.76;43.31;20.33;36.48;19.97;40.04;24.86;35.41;20.77;48.36;29.52;35.45;20.96
134;Salami sausage ;Western;1;Transformed;Savory;;Food;0.1406;4.3506;70.9669;0.0733;0.3806;0.9757;0.4207;0.0011;0.2947;0.0858;2.429;2.0783;0.2117;0.0350;0.0431;0.1231;0.3446;1020;13.0809;0.3877;0.3184;0.2940;27.76;23.93;32.97;27.33;28.21;25.72;21.53;15.81;26.03;24.52;28.21;27.78;24.12;24.56;25.73;21.04;28.35;19.18;27.39;17.83;30;18.37;27.6;21.83;25.43;25.79;25.82;26.22;28.82;31.54;21.27;17.07
135;Salami sausage, cut;Western;1;Transformed;Savory;;Food;0.1592;4.4818;70.5787;0.0784;0.3535;0.9735;0.4257;0.0010;0.3100;0.0907;2.512;2.1371;0.2300;0.0439;0.0618;0.0865;0.4151;1459;19.6966;0.4391;0.2961;0.2648;46.74;25.19;41.28;28.04;48.78;23.49;49.94;23.92;41.41;25.14;35.53;25.23;41.95;26.17;46.84;23.21;27.05;16.91;25.16;16.93;26.46;16.97;29.71;17.06;42.99;30.66;38.13;31.95;44.35;32.36;46.39;27.41
136;Salami sausage parts;Western;1;Transformed;Savory;;Food;0.3581;4.5819;69.6617;0.0812;0.3066;0.9660;0.3304;0.0010;0.3576;0.1071;2.828;2.2572;0.1650;0.0488;0.0896;0.1542;0.5435;1501;31.3109;0.4537;0.2863;0.2600;44.1;24.35;41.23;25.51;46.89;25.21;45.43;22.31;40.11;25.36;36.15;27.35;41;24.99;44.6;22.78;26.48;17.9;28.3;20.5;23.89;17.69;26.4;14.29;37.65;30.73;31.98;31.72;42.48;34.57;40.87;24.99
137;Tiny salami sausages;Western;Complex;Transformed;Savory;;Food;0.2163;4.3541;67.4266;0.0596;0.3465;0.9754;0.4118;0.0010;0.3094;0.0937;2.608;1.9396;0.1267;0.0351;0.0589;0.0783;0.3804;1045;34.5276;0.5841;0.2213;0.1946;44.58;26.6;47.62;25.4;47;27.55;38.76;26.74;40.42;26.59;41.3;25.39;39.66;29.14;40.24;25.89;28.54;18.65;27.3;15.94;27.69;20.62;30.76;19.58;41.12;29.38;42.43;28.31;42.37;28.94;38.41;31.59
138;Tiny salami sausages, overlay;Western;Complex;Transformed;Savory;;Food;0.1922;4.3724;66.7851;0.0463;0.3428;0.9813;0.3455;0.0010;0.2995;0.0905;2.594;2.0065;0.1700;0.0408;0.0575;0.0741;0.3242;1110;32.1518;0.5744;0.2258;0.1998;37.39;27.47;26.22;27.69;34.7;23.35;50.32;27.42;33.24;26.22;21.41;25.26;29.24;23.1;48.32;24.11;26.66;19.84;26.22;20.67;24.41;19.66;29.74;19.57;32.4;30.03;21.15;30.11;29.38;28.88;45.81;26.99
139;Mixed salami sausages;Western;Complex;Transformed;Savory;;Food;0.3640;4.6907;69.5530;0.0831;0.2949;0.9641;0.3693;0.0010;0.3736;0.1145;2.988;2.3081;0.2200;0.0527;0.1006;0.1221;0.5616;1402;36.1013;0.4806;0.2708;0.2486;43.86;26.17;43.7;28.98;42.42;25.73;45.56;24.39;43.87;26.51;43.12;30.8;41.08;25.81;47.56;22.86;24.73;17.94;24.67;20.11;24.42;18.67;25.12;15.23;36.18;30.83;31.94;33.26;34.58;32.09;42;26.79
140;Mixed cheese;Western;2;Transformed;Savory;;Food;0.2974;4.7911;65.0611;0.0307;0.3834;0.9878;0.4326;0.0011;0.2804;0.0883;2.684;2.0252;0.2167;0.0435;0.0280;0.0666;0.2514;1900;41.0269;0.3959;0.3521;0.2520;63.23;23.35;64.35;24.69;63.17;25.26;62.03;20.06;58.95;26.51;57.97;29.43;59.19;25.34;59.79;25.06;46.42;20.63;39.76;19.35;42.78;20.94;57.85;17.16;54.01;33.41;48.3;36.77;51.39;35.4;63.27;25.25
141;Mixed cheese, different order;Western;2;Transformed;Savory;;Food;0.2334;4.8952;64.4651;0.0255;0.3700;0.9898;0.4543;0.0011;0.2695;0.0869;2.622;1.9366;0.2283;0.0444;0.0225;0.0693;0.2258;1795;35.3215;0.4047;0.3350;0.2602;64.34;24.71;61.19;26.32;63.42;24.75;69.17;22.6;59.53;26.29;55.46;28.77;60.65;26.63;63.4;22.64;37.81;22.44;32.3;21.55;33.48;22.07;49.07;20.37;57.2;32.22;52.24;34.7;53.74;34.48;66.9;24.63
142;Little sweets ;Western;3;Transformed;Sweet;;Food;0.1728;4.5139;67.3845;0.0495;0.3540;0.9805;0.3819;0.0011;0.2989;0.0829;2.487;2.0311;0.2717;0.0397;0.0578;0.1067;0.3436;2182;34.2521;0.5149;0.3205;0.1646;75.38;18.54;80.92;18.7;74.21;15.6;70.5;19.86;65.16;23.41;64.81;28.49;64.42;21.87;66.26;18.95;25.51;22.61;16;21.5;26;24.67;35.38;17.28;63.39;24.48;63.51;27.57;60.36;24.95;66.21;20.5
143;Little sweets, different order;Western;3;Transformed;Sweet;;Food;0.1592;4.5532;67.3690;0.0571;0.3519;0.9805;0.3965;0.0010;0.3008;0.0895;2.486;2.0372;0.2967;0.0401;0.0570;0.1073;0.3717;2350;34.4738;0.5216;0.3114;0.1670;68.81;24.74;71.33;24.79;67.2;26.48;67.97;23.24;62.1;25.1;70.18;22.11;53.89;28.33;62.75;21.92;22.74;16.43;17.76;16.92;19.14;11.8;31.81;16.98;53.99;28.39;53.15;31.28;52.71;25.8;56.25;28.74
144;Cherry sweet cakes;Western;3;Transformed;Sweet;;Food;0.3303;4.8205;70.9315;0.0899;0.3569;0.9644;0.3967;0.0010;0.3676;0.1117;2.859;2.6570;0.2450;0.0699;0.0916;0.1385;0.5720;2406;29.1125;0.3949;0.3398;0.2652;63.04;24.3;68.84;21.93;61.09;26.77;59.33;23.26;57.57;26.19;62.39;25.26;54.4;28.9;56.3;23.83;20.25;19.31;13.84;11.85;15.97;16.06;31.87;23.84;54.82;27.6;59.16;29.19;49.31;26;56.77;27.59
145;Mixed sweets;Western;5;Transformed;Sweet;;Food;0.2989;5.0932;70.1508;0.0925;0.3212;0.9633;0.4416;0.0010;0.3867;0.1161;2.858;2.6255;0.3100;0.0662;0.1154;0.1413;0.6236;2845;36.2863;0.4298;0.3314;0.2388;77.94;18.09;73.25;19.43;79.69;16.89;80.13;17.95;68.25;25.23;60.93;26.2;72.14;24.43;70.41;24.64;21.59;20.35;13.18;8.99;19.66;22.18;31.06;22.03;64.23;27.22;53.18;25.14;63.71;29.01;74.47;23.53
146;Strawberry;Universal;Complex;Natural;Sweet;Raw;Food;0.3970;4.9181;71.3453;0.1062;0.2713;0.9588;0.4056;0.0010;0.3937;0.1088;2.778;2.3390;0.3833;0.0680;0.1302;0.1561;0.7014;4823;61.4764;0.6037;0.2675;0.1288;84.11;14.76;86.09;11.98;87.5;11.65;79.15;18.36;71.01;21.93;73.68;23.61;72.67;21.86;66.88;20.21;87.12;12.56;91.21;9.94;89.57;9.58;80.88;14.89;79.02;21.48;80.85;22.17;80.13;24.67;76.21;17.8
147;Strawberry, cut;Universal;Complex;Natural;Sweet;Raw;Food;0.4631;5.0667;71.4545;0.1166;0.2737;0.9548;0.5301;0.0010;0.4180;0.1165;2.985;2.5806;0.4567;0.0579;0.1438;0.1647;0.8227;4898;69.9959;0.5568;0.2865;0.1567;79.25;20.95;85.69;15.22;86.14;12.16;64.03;26.55;68.85;25.34;73.72;23.91;71.81;25.14;60.27;25.54;84.1;15.74;89.97;12.74;86.12;13.27;75.79;18.15;74.56;25.73;78.72;23.57;78.37;23.76;65.55;28.54
148;Red bell pepper;Universal;1;Natural;Savory;Raw;Food;0.1711;4.3030;64.2865;0.0246;0.3620;0.9898;0.4378;0.0011;0.2537;0.0713;2.452;1.8223;0.2533;0.0313;0.0279;0.0788;0.2022;2362;45.0327;0.6195;0.2408;0.1398;63.47;25.6;67.09;24.99;65.97;26.64;57.92;24.97;51.53;27.13;49.06;32.36;54.53;27.42;51.14;21.59;83.8;18.61;84.27;24.87;88.22;10.21;79.44;17.15;45.55;30.37;44.18;31.54;50.63;32.9;42.31;27.02
149;Yellow bell pepper;Universal;1;Natural;Savory;Raw;Food;0.1958;4.5934;63.7660;0.0208;0.3770;0.9916;0.4562;0.0010;0.2474;0.0730;2.381;1.7757;0.2550;0.0406;0.0226;0.0575;0.1822;2029;55.4382;0.5485;0.4059;0.0456;58.82;21.06;64.8;19.01;60.41;24.32;52.42;18.19;48.49;23.85;48.5;24.32;48.44;25.12;48.53;22.97;80.53;15.47;89.9;6.81;77.94;17.37;75.03;15.65;35.53;24.41;39.07;26.69;27.59;21.27;39.64;23.97
150;Green bell pepper;Universal;1;Natural;Savory;Raw;Food;0.1758;4.5204;64.1350;0.0270;0.3539;0.9889;0.4363;0.0011;0.2555;0.0760;2.435;1.8183;0.2750;0.0312;0.0335;0.0615;0.1990;1353;23.5506;0.3753;0.4567;0.1680;61.29;23.51;64.78;21.92;63.24;22.13;54.97;26.2;48.57;24.81;45.5;22.1;52.15;25.74;48.3;27.09;84.19;14.09;86.47;12.84;86.18;13.78;79.27;15.03;46.52;30.05;48.36;29.17;49.15;33.31;41.4;27.59
151;Mixed bell peppers;Universal;3;Natural;Savory;Raw;Food;0.4022;5.2444;64.7356;0.0423;0.3267;0.9814;0.4839;0.0010;0.3097;0.0925;2.524;1.8966;0.3700;0.0397;0.0659;0.0786;0.3350;3972;67.7247;0.5325;0.3597;0.1078;67.36;25.57;70.75;24.29;66.74;27.94;64.22;24.69;55.39;28.18;54.03;27.5;51.79;29.89;60.75;27.15;87.09;13.61;87.86;13.3;86.12;15.1;87.25;12.62;44.87;28.52;44.36;28.91;43.5;31.56;46.91;25.29
152;Pear parts;Universal;6;Natural;Sweet;Molded;Food;0.3012;4.8174;68.3749;0.0694;0.3550;0.9731;0.4408;0.0010;0.3540;0.1110;2.732;2.5020;0.3150;0.0641;0.0826;0.1149;0.5029;2037;31.0891;0.4078;0.3525;0.2397;7.85;14.2;4.5;6.01;8.73;17.65;10.28;15.75;15.37;23.99;16.03;25.33;11.7;20.22;18.5;26.35;16.79;22.14;14.78;20.02;18.82;25.39;16.72;21.04;6.14;12.87;3.53;5.62;8.7;19.28;6.13;9.15
153;seaweed salad;Asian;Complex;Transformed;Savory;Molded;Food;0.2517;4.7572;72.0274;0.1285;0.2925;0.9559;0.3866;0.0010;0.3891;0.1179;2.849;2.7338;0.4383;0.0881;0.1563;0.1536;0.7856;3489;28.0450;0.4233;0.3770;0.1997;20.4;21.92;23.17;23.73;22.08;25.71;15.7;13.45;22.37;25.22;20.24;24.01;22.89;26.26;23.8;25.82;45.18;30.87;46.66;31.12;47;29.59;41.57;32.84;15.07;20.59;17.59;24.2;14.72;21.47;13.07;15.56
154;Salmon salad;Universal;Complex;Transformed;Savory;Molded;Food;0.4030;4.8943;70.3987;0.0949;0.2888;0.9618;0.4706;0.0010;0.3820;0.1162;2.819;2.4562;0.3983;0.0585;0.1247;0.1437;0.6239;2840;37.5379;0.4589;0.3479;0.1932;16.51;18.66;9.96;11.09;15.54;19.02;22.61;21.2;20.3;24.25;15.2;24.63;16.67;22.42;28.45;24.65;36.78;28.4;33.28;27.99;33.18;26.17;43.7;30.74;13.39;18.61;5.88;8.26;9.9;16.4;23.21;22.58
155;Oreo;Universal;14;Transformed;Sweet;;Food;0.4384;4.5633;70.6429;0.1072;0.2827;0.9570;0.4005;0.0010;0.3848;0.1248;2.739;2.1671;0.0883;0.0327;0.1248;0.1415;0.5499;590;11.3527;0.4110;0.3163;0.2727;63.38;22.94;64.27;21.06;71.12;24.37;55.09;20.81;53.59;24.6;53;24.97;58.73;26.91;49.12;21.52;18.77;14.76;15.27;11.4;11.76;12.81;28.68;14.1;54.61;30.53;54.23;33.17;55.76;33.53;53.82;25.52
156;White chocolate oreo;Universal;10;Transformed;Sweet;;Food;0.3852;4.4090;64.7644;0.0324;0.3943;0.9863;0.4188;0.0010;0.2843;0.1001;2.726;2.0597;0.2617;0.0435;0.0300;0.0919;0.2431;621;20.9360;0.3654;0.3560;0.2787;45.5;29.02;47.63;28.61;59.74;26.94;26.28;20.65;43.5;28.41;42.06;29.81;51.58;27.23;35.5;26.46;21;20.48;23.51;22.11;15.26;17.6;25.06;20.9;39.5;31.34;38.83;31.4;49.47;30.97;28.41;28.63
157;Mixed oreo's;Universal;21;Transformed;Sweet;;Food;0.2702;4.8971;68.8311;0.0800;0.3176;0.9695;0.5033;0.0011;0.3516;0.1149;2.753;2.2017;0.1583;0.0373;0.1075;0.1062;0.4319;803;17.4290;0.3700;0.3458;0.2842;68.12;22.76;70;18.95;78.11;14.65;55.19;27.63;62;23.83;59.44;22.67;73.77;20.2;51.84;23.79;17.32;17.54;12.47;11.7;11.57;13.59;28.75;21.14;61.37;28.36;57.91;29.5;68.74;27.95;56.97;26.78
158;wholemeal biscuits;Western;8;Transformed;Sweet;;Food;0.3611;4.6691;67.9301;0.0573;0.3161;0.9740;0.3912;0.0010;0.3473;0.1034;2.942;2.0927;0.1117;0.0582;0.0716;0.1342;0.3883;1181;52.5169;0.5003;0.3597;0.1401;60.65;23.03;63.32;21.23;60.18;25.63;57.97;22.64;49.33;26.94;54.42;26.8;47.58;30.8;45.09;22.28;33.23;22.15;26.05;15.91;30.7;25.3;44.38;21.29;55.04;27.94;59.21;27.06;51.3;29.35;53.94;27.69
159;Eggcookie;Western;1;Transformed;Sweet;Bitten;Food;0.1410;4.2433;66.3558;0.0315;0.3942;0.9866;0.4133;0.0010;0.2707;0.0728;2.527;1.8457;0.1483;0.0288;0.0312;0.0566;0.2195;1245;31.3149;0.5617;0.3147;0.1235;39.96;24.91;48.21;25.64;43.22;25.11;28.52;20.26;35.67;23.98;35.88;28.47;39.29;24.07;30.38;19.19;29.38;17.11;30.46;15.65;29.78;19.62;27.93;14.75;36.3;28.84;44.83;30.54;39.78;30.33;24.31;21.3
160;Pear;Universal;1;Natural;Sweet;Bitten;Food;0.1893;4.5553;65.6817;0.0321;0.3668;0.9862;0.4054;0.0011;0.2804;0.0802;2.625;1.8954;0.2133;0.0319;0.0442;0.0899;0.2442;1637;28.7669;0.4221;0.4004;0.1776;43.02;27;51.92;26.62;46.86;26.56;27.73;21.76;36.66;25.52;43.25;26.86;35.83;24.8;29.73;23.45;71.39;22.34;82.56;14.11;76.89;18.71;51.4;21.68;39.21;29.35;42.86;31.53;44;30.41;29.07;23.07
161;Bell pepper yellow;Universal;1;Natural;Savory;Bitten;Food;0.1932;4.5806;63.3021;0.0188;0.3749;0.9923;0.4519;0.0011;0.2454;0.0750;2.516;1.7535;0.2467;0.0371;0.0155;0.0570;0.1758;1012;58.7553;0.5738;0.4038;0.0224;41.44;23.73;45.66;23.72;42.4;24.8;35.88;22.35;33.77;23.35;30.76;22.31;32.27;25.9;38.47;22.03;70.67;21.86;73.37;19.77;64.6;25.63;73;20;34.87;24.61;34.89;24.51;36.4;28.76;33.5;21.2
162;Mixed bellpepper parts;Universal;Complex;Natural;Savory;Raw;Food;0.4695;4.9608;68.5987;0.0661;0.2746;0.9721;0.4250;0.0010;0.3556;0.0908;2.783;2.0743;0.2983;0.0404;0.0804;0.1322;0.4893;4411;71.3773;0.5832;0.3455;0.0713;66.8;21.69;73.83;17.14;72.61;20.7;53.67;21.59;54.09;27.74;58.19;27.96;55.48;27.93;48.3;27.17;85.03;13.12;88.42;10.09;83.52;17.57;82.76;10.57;48.63;28.18;53.06;29.18;48.68;29.15;43.76;26.13
163;Mozzerella;Universal;Complex;Natural;Savory;;Food;0.2560;4.7799;64.7073;0.0268;0.3574;0.9894;0.3971;0.0010;0.2760;0.0976;2.554;2.0458;0.2083;0.0394;0.0219;0.0633;0.2059;688;13.1175;0.3527;0.3432;0.3041;50.11;26.26;50.58;24.15;50.97;26.54;48.55;28.75;40.32;26.43;36.64;25.36;41.29;29.45;43.06;23.92;42.64;21.66;43.58;20.13;37.24;20.33;48.26;23.8;42.26;31.77;41.18;31.14;43.5;34.86;41.9;29.38
164;Caprese, mozzerella and tomatoes;Universal;Complex;Natural;Savory;;Food;0.1817;4.8088;68.8226;0.0728;0.3374;0.9762;0.3662;0.0010;0.3292;0.0996;2.588;2.4936;0.3017;0.0499;0.0619;0.1028;0.4482;2532;41.3145;0.4515;0.2988;0.2497;57.02;25.91;60.33;24.75;56.84;26.9;53.81;26.29;54.49;25.91;53.58;25.3;56.43;28.14;53.19;24.49;59.27;19.62;58.58;20.65;53.43;19.46;66.75;16.59;51.57;30.39;49.79;31.18;49.92;32.98;55.31;26.84
165;Pudding vanille + strawberrie sauce;Western;1;Transformed;Sweet;;Food;0.1586;4.2159;64.3850;0.0233;0.3684;0.9910;0.3746;0.0011;0.2506;0.0757;2.310;1.8464;0.2350;0.0365;0.0327;0.0551;0.2319;1990;45.4780;0.5362;0.2821;0.1817;61.48;25.34;68.06;23.41;61.06;26.64;54.03;24.7;56.7;27.52;57.03;29.47;58.74;28.71;53.93;24.17;26.61;18.23;26.54;19.97;23.32;21.08;30.55;10.66;50.71;29.49;53.2;29.03;48.68;31.02;50.1;29.03
166;Appleparts;Universal;11;Natural;Sweet;Very molded;Food;0.2097;4.5780;68.0592;0.0570;0.3411;0.9779;0.4560;0.0010;0.3165;0.0868;2.658;2.2366;0.2800;0.0509;0.0658;0.0835;0.4064;3008;39.1400;0.5346;0.3087;0.1567;10.41;16.58;8.19;16.99;7;11.5;15.48;18.51;14.23;22.14;7.68;13.35;16.56;28.19;19.82;23.61;23.35;27.79;24.46;30.96;19.52;29.25;25;23.07;8.26;14.47;7;15.86;7.56;14.89;10.21;12.62
167;Salad;Universal;Complex;Natural;Savory;Very molded;Food;0.3861;5.0025;68.8522;0.0696;0.3189;0.9697;0.5032;0.0010;0.3642;0.1072;2.894;2.3371;0.3333;0.0622;0.0932;0.1153;0.4823;2749;37.0490;0.4202;0.3487;0.2312;5.8;10.97;4.97;11.94;2.72;3.47;9.66;13.96;17.17;28.85;4.76;10.73;17.83;31.53;26.77;32.84;12.31;23.31;10.41;22.04;10.58;23.23;15.66;24.68;4.63;11.32;5.21;13.24;1.58;1.4;7.29;14.47
168;Omelet on bread ;Universal;1;Transformed;Savory;Very molded;Food;0.2348;4.7736;67.7709;0.0516;0.3530;0.9785;0.4105;0.0011;0.3137;0.0944;2.679;2.0535;0.2617;0.0484;0.0619;0.1073;0.3592;2171;29.3047;0.4395;0.3414;0.2191;3.87;5.57;1.72;2.39;2.26;2.57;7.61;7.8;11.95;23.71;7.03;18.44;7.5;21.46;21.3;27.96;6.05;11.69;2.91;5.64;3.53;6.02;11.7;17.34;2.78;4.16;1.41;2.06;2;3.57;4.91;5.33
169;Raw chicken;Universal;1;Natural;Savory;Raw;Food;0.5686;5.0526;65.0030;0.0439;0.3901;0.9801;0.4561;0.0010;0.3410;0.1085;2.857;2.0713;0.2950;0.0622;0.0686;0.0940;0.3667;1927;35.6613;0.4008;0.3458;0.2534;36.97;29.57;43.84;29.71;34.48;29.17;32.19;29.43;34.02;26.78;30.13;24.78;30.07;22.71;41.74;31.08;57.36;24;63.66;26.04;59.72;21.7;48.65;21.92;34.85;31.08;38.56;32.14;29.83;31.04;35.71;30.4
170;Croquette;Western;1;Transformed;Savory;Bitten;Food;0.0894;4.0986;65.5614;0.0257;0.4066;0.9896;0.4142;0.0010;0.2539;0.0704;2.431;1.7780;0.1883;0.0353;0.0228;0.0744;0.1853;1085;23.1959;0.5634;0.3283;0.1083;31.9;24.82;27.56;25.73;31.33;22.61;36.82;26.34;32.45;24.8;23.84;21.89;32.25;22.78;41.03;27.42;25.05;18.32;22.63;18.52;26.45;18.03;25.7;18.8;28.13;25.75;19.56;29.02;27.53;23.27;37.18;22.82
171;Pizza with cauliflower;Western;1;Transformed;Savory;;Food;0.6256;5.1939;68.9051;0.0835;0.3289;0.9622;0.5096;0.0010;0.4071;0.1270;3.205;2.3350;0.3333;0.0583;0.1313;0.1391;0.6404;2624;64.8757;0.4841;0.3483;0.1676;63.23;23.03;63.47;23.01;59.83;28.31;66.09;17.38;58.91;25.7;57.9;24.14;54.45;30.58;63.91;21.95;31.33;20.61;31.3;19.18;32.14;26.27;30.63;16.25;56.75;29.23;58.8;30.61;49.76;32.68;61.16;23.87
172;Tosti with cheese;Western;2;Transformed;Savory;;Food;0.1833;4.2552;69.6385;0.0605;0.3567;0.9754;0.3716;0.0010;0.3077;0.0889;2.599;1.9670;0.1317;0.0377;0.0735;0.0818;0.3731;1682;25.4950;0.4887;0.3350;0.1763;37.51;21.61;36.5;23.32;42.63;21.23;33.31;19.88;33.64;23.34;30.56;22.8;37.89;24.98;32.2;22.16;31.17;20.34;30.56;20.51;34.34;22.98;28.54;17.29;30.72;24.78;28.31;25.01;36.14;25.14;27.49;23.99
