image nr;Description;Food classification;Complexity (amount, number of items);Natural vs transformed;Sweet vs savory;State of food;Food vs nonfood;FPC;S;P;C;E;H;SS;AN;CRjpeg;CRgif;FC;SE;NPO;MIGh;MIGs;MIGv;MGS;NC;CF;R;G;B;Average_Valence_ALL;St_dev_Valence_ALL;Average_Valence_UK;St_dev_Valence_UK;Average_Valence_US;St_dev_Valence_US;Average_Valence_JP;St_dev_Valence_JP;Average_Arousal_ALL;St_dev_Arousal_ALL;Average_Arousal_UK;St_dev_Arousal_UK;Average_Arousal_US;St_dev_Arousal_US;Average_Arousal_JP;St_dev_Arousal_JP;Average_Health_ALL;St_dev_Health_ALL;Average_Health_UK;St_dev_Health_UK;Average_Health_US;St_dev_Health_US;Average_Health_JP;St._dev_Health_JP;Average_Desire_ALL;St_dev_Desire_ALL;Average_Desire_UK;St_dev_Desire_UK;Average_Desire_US;St_dev_Desire_US;Average_Desire_JP;St_dev_Desire_JP
677;Kohlrabi;Western;5;Natural;Savory;raw;Food;43.35.00;101.55.00;175.08.00;3.22;69.57.00;165.16.00;55.59.00;0.13;40.35.00;13.41;10.22;144.21.00;36.07.00;4.42;5.06;9.42;32.29.00;839;124.41.00;66.33.00;66.52.00;33.15.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
678;Kohlrabi;Western;3;Natural;Savory;raw;Food;46.20.00;90.18.00;203.26.00;3.11;68.26.00;165.22.00;61.27.00;0.12;40.27.00;13.54;10.30;147.01.00;34.43.00;6.29;5.04;8.46;34.06.00;804;183.23.00;65.15.00;65.26.00;35.58.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
679;Indian potato snack (ALOO BHUJIA );Asian;complex;Transformed;Savory;;Food;66.43.00;137.12.00;126.48.00;13.35;49.18.00;160.44.00;63.22.00;0.12;59.38.00;19.46;18.03;101.52.00;9.10;13.26;13.50;25.22.00;117.47.00;1508;136.56.00;94.30.00;61.38.00;10.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
680;Indian potato snack (ALOO BHUJIA );Asian;complex;Transformed;Savory;;Food;35.35.00;84.05.00;129.27.00;9.46;57.39.00;162.45.00;65.30.00;0.12;48.09.00;15.23;12.20;29.51.00;15.50;9.41;7.18;17.59;76.04.00;1301;159.53.00;95.23.00;61.01.00;10.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
681;Tarallini;Western;complex;Transformed;Savory;;Food;52.11.00;119.26.00;158.13.00;8.19;56.23.00;163.04.00;59.31.00;0.12;52.55.00;16.07;15.23;39.14.00;45.50.00;8.10;11.50;15.21;67.34.00;1366;156.22.00;83.42.00;62.53.00;20.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
682;Sugar Coating Fennel;Asian;complex;Transformed;Savory;;Food;55.52.00;143.36.00;143.48.00;24.58.00;56.17.00;158.43.00;61.12.00;0.12;60.43.00;18.13;14.44;50.48.00;33.20.00;10.59;19.02;28.29.00;160.19.00;3304;58.33.00;73.42.00;62.42.00;30.16.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
683;Breadstick;Western;7;Transformed;Savory;;Food;47.28.00;109.50.00;194.02.00;5.16;64.58.00;164.24.00;61.55.00;0.13;47.15.00;13.58;13.40;32.01.00;28.03.00;8.21;7.58;13.41;46.21.00;918;196.09.00;73.02.00;59.55.00;33.42.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
684;Pumpernickel;Western;1;Transformed;Sweet;;Food;54.32.00;95.29.00;94.52.00;12.54;51.26.00;161.06.00;54.37.00;0.13;54.33.00;16.04;11.32;150.51.00;10.33;5.11;17.29;20.56;78.48.00;980;43.37.00;82.20.00;52.22.00;31.58.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
685;Pumpernickel;Western;2;Transformed;Sweet;;Food;52.52.00;73.20.00;211.05.00;10.10;51.42.00;162.18.00;59.35.00;0.13;51.37.00;14.21;11.13;153.17.00;15.33;5.26;14.44;18.00;67.52.00;1062;180.01.00;84.27.00;52.54.00;29.19.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686;Green Bean Porridge;Asian;complex;Transformed;Savory;;Food;78.56.00;137.47.00;142.30.00;4.26;55.08.00;164.38.00;54.47.00;0.13;44.52.00;14.23;11.43;125.02.00;30.33.00;8.35;6.24;12.18;37.41.00;797;179.10.00;63.26.00;56.28.00;46.45.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
687;Green Bean Porridge;Asian;complex;Transformed;Savory;;Food;72.36.00;166.23.00;154.35.00;7.01;54.26.00;163.41.00;61.53.00;0.12;47.54.00;15.41;11.19;152.59.00;45.17.00;9.43;8.44;15.40;53.33.00;1374;74.46.00;62.23.00;56.16.00;48.01.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
688;Pickled Artichoke;Asian;13;Transformed;Savory;;Food;43.53.00;109.14.00;88.08.00;7.03;58.18.00;163.44.00;70.12.00;0.12;48.12.00;15.38;11.22;15.00;46.07.00;5.36;9.40;15.01;54.09.00;1350;98.29.00;75.30.00;62.11.00;28.59.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
689;Pickled Artichoke;Asian;13;Transformed;Savory;;Food;52.02.00;137.28.00;81.22.00;9.25;56.55.00;162.48.00;73.53.00;0.12;54.01.00;17.02;13.05;58.18.00;42.47.00;8.18;12.26;16.42;76.35.00;1535;203.25.00;73.56.00;62.02.00;30.43.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
690;Eggplant in oil;Asian;3;Transformed;Savory;;Food;34.19.00;76.47.00;209.33.00;10.47;55.25.00;163.25.00;62.32.00;0.13;46.14.00;13.38;7.00;6.19;44.43.00;6.54;11.43;12.30;54.25.00;1309;120.55.00;80.25.00;54.54.00;31.21.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
691;Eggplant in oil;Asian;2;Transformed;Savory;;Food;31.36.00;78.08.00;168.50.00;8.43;56.01.00;163.57.00;53.22.00;0.13;44.44.00;13.33;6.39;3.22;37.30.00;7.21;10.11;12.01;46.57.00;1318;47.56.00;80.54.00;55.20.00;30.26.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
692;Chickpeas;Universal;complex;Transformed;Savory;;Food;51.01.00;128.33.00;190.01.00;8.01;51.38.00;163.21.00;64.08.00;0.12;51.37.00;16.30;14.10;44.13.00;40.17.00;10.16;11.18;16.31;70.38.00;1319;193.51.00;83.11.00;60.33.00;22.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
693;Chinese style pickles Seaweed;Asian;complex;Transformed;Savory;;Food;57.39.00;135.31.00;221.27.00;21.38;48.24.00;160.03.00;67.33.00;0.12;59.11.00;19.00;12.01;124.11.00;58.53.00;14.17;24.53.00;20.37;115.07.00;2145;57.22.00;78.34.00;57.41.00;30.26.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
694;Bean Porridge;Asian;complex;Transformed;Savory;;Food;81.57.00;10.24;120.22.00;5.16;52.34.00;164.20.00;68.01.00;0.13;45.42.00;15.19;11.01;144.37.00;35.50.00;6.31;6.32;11.30;39.31.00;1132;121.01.00;65.26.00;54.56.00;46.18.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
695;Boiled Beats;Western;9;Transformed;Savory;;Food;52.57.00;65.18.00;80.14.00;5.19;53.36.00;164.44.00;60.46.00;0.13;39.25.00;12.01;7.20;166.53.00;26.57.00;7.26;4.33;7.53;38.22.00;1262;59.17.00;135.35.00;11.37;19.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
696;Boiled Beats;Western;complex;Transformed;Savory;;Food;64.09.00;44.58.00;207.34.00;5.39;50.31.00;164.22.00;60.51.00;0.13;42.41.00;11.52;5.33;142.50.00;37.47.00;5.58;7.40;10.11;39.43.00;1496;77.51.00;121.55.00;19.11;25.34.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
