image nr;Description;Food classification;Complexity (amount, number of items);Natural vs transformed;Sweet vs savory;State of food;Food vs nonfood;FPC;S;P;C;E;H;SS;AN;CRjpeg;CRgif;FC;SE;NPO;MIGh;MIGs;MIGv;MGS;NC;CF;R;G;B;Average_Valence_ALL;St_dev_Valence_ALL;Average_Valence_UK;St_dev_Valence_UK;Average_Valence_US;St_dev_Valence_US;Average_Valence_JP;St_dev_Valence_JP;Average_Arousal_ALL;St_dev_Arousal_ALL;Average_Arousal_UK;St_dev_Arousal_UK;Average_Arousal_US;St_dev_Arousal_US;Average_Arousal_JP;St_dev_Arousal_JP;Average_Health_ALL;St_dev_Health_ALL;Average_Health_UK;St_dev_Health_UK;Average_Health_US;St_dev_Health_US;Average_Health_JP;St._dev_Health_JP;Average_Desire_ALL;St_dev_Desire_ALL;Average_Desire_UK;St_dev_Desire_UK;Average_Desire_US;St_dev_Desire_US;Average_Desire_JP;St_dev_Desire_JP
1;Oranges;Universal;2;Natural;Sweet;Raw;Food;40.39.00;114.17.00;205.33.00;4.00;58.00.00;164.59.00;78.18.00;0.10;44.15.00;12.58;11.33;138.48.00;38.53.00;4.51;4.03;11.28;33.29.00;1702;121.33.00;105.52.00;52.59.00;7.49;73.07.00;19.18;75.7;16.58;73.18.00;21.37;71.02.00;18.1;56.31.00;27.05.00;54.17.00;25.41.00;55.13.00;32.23.00;60.34.00;21.18;84.3;13.36;88.07.00;12.3;85.13.00;14.54;80.47.00;12.07;65.09.00;26.5;64.13.00;27;66.25.00;30.02.00;65.38.00;23.01
2;Apples;Universal;3;Natural;Sweet;Raw;Food;55.38.00;6.34;131.44.00;6.50;56.21.00;163.43.00;72.53.00;0.10;51.38.00;15.22;12.56;160.02.00;55.00.00;5.37;9.01;15.25;54.23.00;3375;198.55.00;85.19.00;60.20.00;21.01;69.22.00;22.24;73.11.00;16.1;73.03.00;24.01.00;60.48.00;24.14.00;53.16.00;27.17.00;51.44.00;24.34.00;59.17.00;31.34.00;50.01.00;25.25.00;83.01.00;18.11;87.22.00;12.52;86.4;19.04;74.32.00;19.22;63.08.00;28.46.00;61.32.00;27.19.00;69.23.00;29.35.00;59.06.00;29.28.00
3;Apple + parts;Universal;12;Natural;Sweet;Raw;Food;69.28.00;160.37.00;212.24.00;9.27;58.12.00;162.48.00;81.59.00;0.10;56.42.00;17.22;16.06;57.11.00;55.17.00;7.38;12.19;17.48;76.27.00;3160;147.02.00;76.11.00;59.44.00;30.45.00;72.28.00;22.13;71.07.00;16.14;81.24.00;17.1;61.54.00;26.16.00;56.02.00;28.26.00;48.26.00;27.55.00;63.08.00;28.28.00;55.14.00;28.07.00;85.33.00;14.05;87.21.00;11.33;87.07.00;12.41;82.17.00;17.19;67.19.00;25.45.00;65.29.00;23.37;70.29.00;25.22.00;65.09.00;28.01.00
4;Appleparts;Universal;11;Natural;Sweet;Raw;Food;51.55.00;127.32.00;72.42.00;7.13;64.38.00;163.48.00;77.07.00;0.10;51.34.00;16.21;13.59;42.57.00;48.03.00;7.56;9.29;16.04;63.36.00;2744;186.59.00;75.26.00;61.07.00;30.07.00;67.6;22.58;69.07.00;22.09;73.28.00;21.09;62.01.00;24.02.00;54.31.00;29.49.00;50.33.00;31.48.00;58.25.00;31.22.00;54.17.00;26.17.00;84.34.00;14.11;88.26.00;12.18;84.06.00;13.02;79.14.00;15.35;63.19.00;30.16.00;60.31.00;32.57.00;66.58.00;30.27.00;63.22.00;28.17.00
5;Grasshopper;Unappealing;50;Natural;Savory;;Food;51.47.00;154.59.00;117.34.00;23.38;52.09.00;158.04.00;70.06.00;0.10;66.41.00;20.45;17.15;129.15.00;59.43.00;12.40;22.30;28.55.00;130.58.00;1794;126.19.00;73.43.00;58.17.00;34.41.00;17.05;21.04;15.24;23.57;21.15;23.42;15.02;16.05;25.29.00;27.16.00;24.45.00;31.28.00;24.37.00;23.01;26.15.00;28.26.00;49.24.00;30.11.00;46.26.00;31.9;53.16.00;28.16.00;47.59.00;30.14.00;13.11;22.39;15.06;26.09.00;19.19;26.14.00;6.29;9.31
6;Crostini;Western;1;Transformed;Savory;;Food;28.55.00;91.55.00;131.45.00;8.22;62.45.00;163.32.00;68.09.00;0.10;48.41.00;14.48;9.54;14.08;24.43.00;7.43;8.59;14.26;53.08.00;1926;119.11.00;79.31.00;58.43.00;28.27.00;33.55.00;25.09.00;39.24.00;29.12.00;30.11.00;21.3;32.58.00;25.33.00;33.09.00;26.05.00;34.16.00;30.21.00;28.2;19.9;36.15.00;26.32.00;37.29.00;20.31;42.21.00;21.26;36.09.00;17.23;33.31.00;22.19;28.19.00;27.11.00;34.31.00;33.47.00;21.2;19.05;30.32.00;25.55.00
7;Liquorice;Western;22;Transformed;Sweet;;Food;26.29.00;8.18;164.08.00;6.21;61.24.00;164.15.00;68.08.00;0.11;44.34.00;12.13;7.33;149.46.00;39.27.00;6.56;6.34;15.42;37.51.00;1218;162.16.00;65.23.00;55.17.00;45.59.00;33.14.00;24.34.00;42.34.00;23.11;33.37.00;27.33.00;24.25.00;20.18;31.19.00;26.17.00;33.04.00;24.12.00;27.19.00;29.3;33.06.00;25.09.00;15.52;16.39;12.24;15.15;15.57;17.14;19.24;17.4;22.34;24.08.00;29;27.15.00;21.22;25.45.00;17.18;18.23
8;Fishburger;Western;1;Transformed;Savory;;Food;31.59.00;111.43.00;115.46.00;6.25;60.55.00;163.59.00;74.35.00;0.10;48.18.00;13.38;11.48;3.34;45.33.00;6.40;7.31;16.15;45.41.00;2860;203.54.00;85.43.00;57.32.00;23.25;51.29.00;24.28.00;48.15.00;23.29;49.43.00;24.24.00;57.19.00;25.54.00;50.37.00;26.18.00;43.44.00;27.43.00;48.59.00;27.8;59.39.00;20.47;27.7;19.16;26.3;22.26;26.41.00;18.05;31.15.00;18.07;42.36.00;30.13.00;31.33.00;29.52.00;44.43.00;30.39.00;51.04.00;28.35.00
9;Greek salad;Universal;Complex;Transformed;Savory;Raw;Food;69.32.00;33.03.00;212.01.00;15.19;46.24.00;160.46.00;83.28.00;0.10;63.58.00;19.36;16.30;90.22.00;68.20.00;9.27;24.02.00;21.53;105.47.00;3351;53.45.00;65.51.00;69.56.00;30.54.00;62.44.00;25.45.00;74.47.00;18.06;61.37.00;23.38;53.18.00;30.08.00;51.41.00;27.36.00;56.2;28.18.00;53.27.00;28.31.00;45.36.00;26.03.00;80.23.00;18.49;84.7;14.51;80.08.00;17.19;75.58.00;22.24;56.6;30.28.00;61.8;32.21.00;55.29.00;27.7;53.39.00;30.4
10;Kiwis;Universal;4;Natural;Sweet;Raw;Food;41.31.00;94.42.00;170.39.00;7.06;55.13.00;163.33.00;73.43.00;0.10;50.52.00;15.03;12.31;144.40.00;36.07.00;8.18;9.31;12.40;44.49.00;941;92.47.00;81.00.00;57.55.00;27.45.00;63.16.00;23.8;63.38.00;27.25.00;62.32.00;23;62.58.00;22.05;52.06.00;27.03.00;52.12.00;28.28.00;47.16.00;26.33.00;57;26.34.00;81.35.00;16.28;87.44.00;12.23;81.45.00;11.12;74.18.00;20.39;59.04.00;29.2;61.41.00;28.24.00;61.05.00;30.14.00;55.24.00;30.12.00
11;Kiwis + parts;Universal;7;Natural;Sweet;Raw;Food;48.53.00;133.28.00;86.54.00;10.02;53.59.00;162.26.00;71.29.00;0.10;55.54.00;16.28;13.03;5.22;47.47.00;7.39;13.13;19.11;64.24.00;1798;86.31.00;73.43.00;61.51.00;31.05.00;66.37.00;22.21;72.17.00;21.16;58.53.00;24.14.00;71.26.00;18.24;55.47.00;26.14.00;61.23.00;25.52.00;49.3;29.33.00;58.23.00;20.11;82.35.00;14.55;88.47.00;10.38;77.1;16.27;81.9;14.24;59.06.00;31.26.00;59.43.00;31.13.00;49.23.00;34.28.00;71.9;23.27
12;Ricewaffle;Western;5;Transformed;Savory;;Food;72.18.00;131.34.00;68.45.00;11.03;63.49.00;161.45.00;79.01.00;0.10;62.05.00;20.03;18.25;116.18.00;19.43;15.28;12.41;20.21;84.02.00;1334;66.47.00;62.08.00;56.49.00;47.44.00;40.8;21.6;40.25.00;22.32;33.42.00;20.13;48.2;21.12;27.03.00;21.04;26.01.00;20.17;16.07;17.26;39.29.00;20.06;60.3;24.16.00;71.29.00;22.34;60.19.00;24.8;52.31.00;22.31;34.33.00;26.07.00;33.36.00;29.21.00;31.22.00;27.48.00;37.31.00;22.53
13;Salad;Universal;Complex;Natural;Savory;Raw;Food;75.50.00;169.41.00;85.06.00;10.51;58.35.00;162.13.00;80.59.00;0.10;60.11.00;18.31;17.06;72.58.00;57.13.00;5.57;16.05;21.27;90.22.00;3377;218.41.00;73.37.00;63.22.00;29.41.00;51.22.00;28.33.00;61.21.00;25.32.00;52.17.00;29.36.00;42.17.00;26.48.00;43.43.00;29.04.00;50.37.00;31.08.00;41.12.00;28.8;41.17.00;27.23.00;77.31.00;18.9;85.24.00;12.32;77.14.00;17.9;71.11.00;23.34;44.52.00;29.04.00;53.06.00;30.02.00;43.05.00;29.06.00;38.51.00;27.4
14;Cheese rolls;Western;2;Transformed;Savory;;Food;50.07.00;124.56.00;142.53.00;7.28;55.33.00;163.24.00;75.09.00;0.10;53.15.00;16.58;15.10;13.01;32.13.00;8.44;9.45;18.13;58.42.00;1783;195.37.00;89.55.00;59.14.00;17.30;66.47.00;21.38;64.15.00;22.17;68.23.00;23.03;67.16.00;20.11;58.8;24.06.00;50.18.00;25.33.00;59.29.00;23.11;67.22.00;20.04;31.5;20.34;28.21.00;23.03;28.24.00;20.08;38.44.00;14.9;59.12.00;28.22.00;53.48.00;31.48.00;60.21.00;28.16.00;63.06.00;23.49
15;KitKat;Universal;8;Transformed;Sweet;;Food;29.58.00;22.54;164.52.00;7.21;59.17.00;164.15.00;64.46.00;0.11;44.35.00;13.59;10.06;3.33;33.20.00;6.14;8.00;18.11;42.40.00;644;124.57.00;75.14.00;49.57.00;41.29.00;69.25.00;23.23;75.32.00;24.23.00;68.6;24.16.00;64.04.00;20.17;61.46.00;26.9;67.38.00;27.31.00;57.09.00;28.57.00;60.04.00;24.8;22.39;20.28;12.54;12.27;16.4;19.6;37.14.00;19.45;66;28.31.00;71.29.00;27.38.00;63.09.00;29.15.00;64.19.00;28.11.00
16;Hazelnuts;Universal;Complex;Transformed;Savory;;Food;61.30.00;128.09.00;144.13.00;8.18;62.01.00;163.10.00;77.32.00;0.10;54.59.00;17.52;17.41;45.53.00;36.40.00;9.44;10.53;17.06;67.51.00;1255;72.13.00;76.09.00;59.53.00;30.38.00;49.08.00;22.39;45.26.00;18.38;51.25.00;23.03;51.27.00;24.5;36.32.00;24.22.00;36.34.00;21.41;34.53.00;25.07.00;38.39.00;26.33.00;58.25.00;23.34;55.14.00;23.21;59.11.00;22.7;59.45.00;25.09.00;41.03.00;29;36.14.00;25.27.00;41.21.00;29.31.00;47.26.00;32.48.00
17;Omelet on bread;Western;1;Transformed;Savory;;Food;43.04.00;145.30.00;228.43.00;12.43;56.19.00;161.45.00;62.51.00;0.10;56.13.00;16.43;13.49;44.06.00;52.30.00;7.49;13.25;19.02;81.57.00;3106;214.35.00;90.27.00;58.19.00;17.54;41.53.00;25.11.00;42.31.00;20.48;49.34.00;29.08.00;32.56.00;23.09;39.31.00;26.13.00;34.29.00;20.5;48.54.00;30.38.00;33.44.00;23.44;33.49.00;22.23;38.17.00;23.24;33.09.00;22.41;30.09.00;19.3;36.46.00;30.33.00;30.03.00;25.5;52.34.00;33.13.00;27;24.8
18;Onions;Universal;2;Natural;Savory;Raw;Food;41.54.00;106.20.00;145.44.00;4.26;57.20.00;164.52.00;75.52.00;0.11;44.53.00;14.30;9.56;143.52.00;48.37.00;6.45;5.28;9.50;34.55.00;1374;103.16.00;82.10.00;53.08.00;31.21.00;48.27.00;23.31;39.03.00;23.38;57.12.00;23.06;47;19.05;35.1;23.39;24.07.00;18.06;38.08.00;26.17.00;44.21.00;21.2;76.5;17.27;76.21.00;17.39;76.56.00;19.17;77.14.00;16.21;25.15.00;25.05.00;13.45;13.02;28.47.00;29.01.00;32.45.00;25.53.00
19;Onion + parts;Universal;2;Natural;Savory;Raw;Food;57.35.00;148.30.00;100.44.00;6.53;60.07.00;164.00.00;68.41.00;0.10;50.22.00;15.30;11.10;11.29;53.03.00;6.56;8.33;15.00;54.16.00;1908;41.32.00;68.53.00;58.35.00;39.13.00;47.53.00;23.6;46.21.00;25.05.00;49.21.00;23.13;48.06.00;23.47;35.02.00;25.08.00;28.35.00;21.52;39.12.00;26.09.00;39.25.00;27.11.00;72.43.00;19.18;75.26.00;18.15;68.12.00;17.5;74.38.00;22.02;30.01.00;26.28.00;26.08.00;26.39.00;30.08.00;27.22.00;34.59.00;25.08.00
20;Salad on blue plate;Universal;Complex;Transformed;Savory;Raw;Food;72.01.00;19.18;213.13.00;17.36;54.29.00;160.11.00;79.38.00;0.09;66.02.00;18.24;13.33;62.12.00;62.13.00;9.19;22.29;21.36;134.40.00;7267;89.05.00;65.05.00;60.56.00;40.40.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Stroopwafels (syrup waffles);Western;6;Transformed;Sweet;;Food;65.41.00;129.05.00;147.30.00;12.03;49.38.00;161.24.00;73.48.00;0.10;59.47.00;18.39;17.18;18.24;15.33;8.26;15.15;18.46;78.06.00;1373;63.47.00;91.35.00;55.31.00;19.34;59.19.00;23.11;65.8;22.54;58.4;25.14.00;52.35.00;18.43;50.25.00;25.44.00;53.15.00;26.5;50.45.00;28.08.00;45.26.00;20.48;27.23.00;17.57;17.43;13.41;27.9;19.13;38.37.00;14.32;54.19.00;28.29.00;57.2;27.41.00;56.38.00;31.25.00;47.14.00;23.39
22;Azukibeans (red beans);Asian;Complex;Natural;Savory;Raw;Food;44.54.00;82.18.00;147.02.00;14.26;52.01.00;161.37.00;66.24.00;0.10;56.08.00;16.29;12.41;56.36.00;23.03;9.41;15.43;17.48;86.39.00;1647;117.51.00;85.09.00;42.55.00;38.37.00;44.8;24.52.00;39.49.00;21.28;48.37.00;27.17.00;48.22.00;25.55.00;33.02.00;25.36.00;26.09.00;23.32;32.32.00;29.16.00;41.34.00;20.57;67.16.00;23.28;65.59.00;25.33.00;68.16.00;22.26;67.24.00;23.22;33.28.00;27.29.00;26.15.00;23.42;34.24.00;30.58.00;41.44.00;27.17.00
23;Almonds;Universal;Complex;Natural;Savory;;Food;51.13.00;102.24.00;133.58.00;12.12;52.32.00;161.31.00;63.57.00;0.10;57.13.00;18.05;14.17;34.08.00;30.33.00;7.33;14.37;17.46;76.09.00;1802;194.51.00;93.11.00;51.26.00;22.03;59.41.00;24.32.00;52.29.00;27.59.00;65.29.00;21.22;61.07.00;21.54;49.22.00;27.18.00;39.16.00;27.12.00;55.21.00;28.17.00;53.01.00;23.32;72.28.00;19.03;68.44.00;22.43;75.29.00;17.07;72.31.00;17.36;55.02.00;30.06.00;43.09.00;34.28.00;62.56.00;27.19.00;59.55.00;25.24.00
24;Berlinerbol (doughnut)  strawberry;Western;4;Transformed;Sweet;;Food;84.13.00;167.40.00;203.26.00;9.04;55.27.00;162.30.00;78.33.00;0.10;59.31.00;19.11;18.34;19.25;33.37.00;13.22;13.52;20.11;68.42.00;1704;108.14.00;81.30.00;59.33.00;25.37.00;65.12.00;21.05;68.34.00;19.01;67.21.00;19.28;59.42.00;24.36.00;55.54.00;26.18.00;61.17.00;24.25.00;54.22.00;27.24.00;51.22.00;27.04.00;16.06;15.25;13.32;11.33;15.21;17.28;20.44;15.41;53.03.00;28.25.00;57.58.00;26.32.00;52.47.00;28.6;49.03.00;29.02.00
25;Blueberries;Universal;Complex;Natural;Sweet;;Food;31.22.00;51.00.00;82.02.00;9.45;57.26.00;163.01.00;65.04.00;0.10;50.43.00;16.09;10.15;6.56;38.53.00;10.53;6.37;12.00;54.35.00;877;77.20.00;54.55.00;53.48.00;57.57.00;67.07.00;22.11;62.37.00;23.04;76.17.00;18.4;61.47.00;22.47;55.17.00;27.36.00;40.23.00;28.39.00;65.46.00;26.35.00;57.32.00;22.1;84.39.00;13.45;89.17.00;9.15;87.14.00;13.43;78.33.00;15.06;64.18.00;28.21.00;57.01.00;29.53.00;74.51.00;27.34.00;61.04.00;25.55.00
26;Carrot;Universal;1;Natural;Savory;Raw;Food;32.02.00;67.01.00;129.40.00;5.40;59.17.00;164.13.00;76.02.00;0.10;47.10.00;13.04;11.56;149.43.00;29.10.00;5.19;6.26;16.55;37.35.00;1478;128.45.00;102.22.00;47.10.00;17.08;48.55.00;25.41.00;53.5;24.19.00;51.17.00;23.13;40.03.00;28.37.00;36.43.00;27.16.00;39.03.00;27.19.00;31.54.00;27.29.00;39;27.07.00;86.17.00;15.12;91.18.00;13.34;87.06.00;14.15;80.07.00;17.34;41.04.00;29.18.00;44.28.00;27.31.00;44.34.00;30.34.00;32.37.00;29.57.00
27;Carrot, cut;Universal;1;Natural;Savory;Raw;Food;33.10.00;86.38.00;228.16.00;6.18;58.28.00;164.06.00;77.09.00;0.10;46.57.00;14.10;11.21;152.50.00;38.37.00;5.12;5.37;15.58;40.10.00;1900;215.54.00;108.00.00;46.33.00;12.07;50.34.00;27.36.00;51.44.00;25.55.00;61.9;24.58.00;36.25.00;26.12.00;43.25.00;29.03.00;39.14.00;28.16.00;53.3;29.34.00;35;26.08.00;84.35.00;15.31;87.56.00;10.15;89.55.00;9.31;74.5;20.21;43.49.00;29.2;44.48.00;28.19.00;55.23.00;30.41.00;29.35.00;22.4
28;Carrot, parts;Universal;Complex;Natural;Savory;Raw;Food;67.14.00;126.52.00;180.53.00;6.51;50.07.00;163.39.00;78.32.00;0.10;52.24.00;16.43;14.37;10.25;36.07.00;4.44;6.50;15.53;51.27.00;1988;211.25.00;109.37.00;48.31.00;8.32;44.24.00;24.19.00;49.23.00;22.29;46.21.00;24.38.00;37.31.00;23.45;33.03.00;23.33;34.13.00;25.59.00;28.5;22.05;36.09.00;21.37;79.27.00;19.25;85.33.00;15.25;84.02.00;15.31;70.2;22.23;37.01.00;28.25.00;47.53.00;30.28.00;40.19.00;28.13.00;24.14.00;21.19
29;Cashew nuts;Universal;Complex;Natural;Savory;;Food;51.57.00;122.45.00;224.10.00;9.01;59.21.00;162.53.00;72.06.00;0.10;54.10.00;17.27;15.34;51.54.00;45.33.00;10.25;11.05;19.13;69.30.00;1593;62.28.00;81.06.00;58.47.00;26.46.00;64.44.00;22.21;63.21.00;22.57;71.37.00;20.26;60.06.00;22.7;53.23.00;25.34.00;51.4;26.2;58.12.00;27.24.00;50.14.00;21.07;62.7;20.35;65.33.00;20.19;67.5;15.11;55.36.00;23.33;60.13.00;28.08.00;60.16.00;29.46.00;67.31.00;25.3;53.31.00;26.7
30;Chips, Doritos;Universal;Complex;Transformed;Savory;;Food;108.11.00;161.21.00;138.04.00;14.29;66.20.00;160.14.00;89.52.00;0.09;69.19.00;23.02;8.02;95.59.00;24.27.00;7.08;19.08;25.19.00;107.07.00;1540;242.50.00;87.22.00;64.26.00;14.51;56.48.00;24.38.00;57.29.00;26.09.00;64.24.00;24.27.00;49.28.00;21.22;49.08.00;27.21.00;44.33.00;29.29.00;54.59.00;27.33.00;49.31.00;23.37;22.45;18.44;21.17;18.21;23.13;22.53;23.18;15.26;50.22.00;30.13.00;44.28.00;32.18.00;59.25.00;33;47.13.00;23.3
31;Chips, Lays natural;Universal;Complex;Transformed;Savory;;Food;104.18.00;122.35.00;203.10.00;7.54;67.47.00;163.05.00;85.29.00;0.10;62.13.00;21.15;4.20;81.28.00;30.00.00;5.40;16.13;18.43;83.45.00;1573;87.35.00;72.49.00;64.30.00;29.20.00;61.44.00;22.23;65.05.00;24.35.00;56.18.00;22.17;65.19.00;20.6;59.06.00;25.04.00;60.32.00;22.9;53.18.00;27.22.00;65.44.00;22.16;15.29;13.27;12.08;8.33;13.03;16.31;20.44;11.4;61.21.00;28.34.00;65.28.00;27.18.00;53.26.00;32.32.00;68.03.00;23
32;Chocolate doughnut;Western;4;Transformed;Sweet;;Food;47.08.00;7.44;227.50.00;11.51;52.09.00;161.58.00;72.06.00;0.11;59.02.00;18.58;16.11;57.31.00;54.43.00;9.09;17.46;17.46;86.41.00;1762;60.32.00;78.24.00;57.24.00;30.52.00;74.03.00;20.22;75.21.00;20.23;75.29.00;21.04;70.5;19.06;66.4;22.29;69.21.00;24.23.00;67.49.00;22.38;62.5;20.5;17.57;16.53;11.34;13.1;16.23;16.33;27.34.00;16.38;62.15.00;28.48.00;57.39.00;32.07.00;62.09.00;29.22.00;67.12.00;23.51
33;Cucumbers, halfs;Universal;2;Natural;Savory;Raw;Food;40.10.00;117.28.00;121.30.00;7.10;57.11.00;163.52.00;73.30.00;0.11;48.00.00;15.34;12.20;148.48.00;37.13.00;5.45;7.44;13.23;46.33.00;771;28.24.00;64.08.00;73.41.00;28.50.00;56.37.00;24.11.00;56.21.00;28.14.00;61.24.00;19.34;50.09.00;23.19;41.12.00;26.22.00;39.37.00;25.09.00;43.05.00;28.12.00;41.24.00;25.38.00;85.28.00;12.35;88.36.00;10.47;87.08.00;10.16;80.3;14.37;46.23.00;29.19.00;43.11.00;31.55.00;50.21.00;27.58.00;44.16.00;28.6
34;Cucumber, halfs overlay;Universal;2;Natural;Savory;Raw;Food;40.17.00;100.12.00;215.48.00;7.40;54.58.00;163.34.00;69.26.00;0.11;50.07.00;14.52;12.33;161.03.00;38.53.00;5.30;11.40;19.36;52.33.00;1047;50.21.00;62.36.00;72.18.00;31.46.00;56.28.00;25.31.00;61;25.01.00;54.51.00;27.08.00;52.16.00;24.36.00;42.34.00;27.13.00;42.39.00;29.58.00;43.06.00;27.17.00;42.34.00;25.05.00;81.01.00;20.31;87.25.00;18.07;81.26.00;18.07;73.07.00;23.29;48.17.00;31.06.00;52.42.00;32.25.00;45.29.00;33.36.00;46.16.00;28.34.00
35;Cucumber, halfs overlay, washed;Universal;2;Natural;Savory;Raw;Food;39.52.00;123.14.00;141.44.00;6.38;55.06.00;164.06.00;72.30.00;0.11;48.01.00;15.13;10.09;155.21.00;45.17.00;5.35;10.12;10.10;44.52.00;1092;142.12.00;63.51.00;78.11.00;24.38.00;55.4;24.36.00;60.12.00;25.21.00;55;23.26;51.37.00;24.05.00;42.13.00;27.07.00;39.15.00;27.53.00;41.11.00;30.47.00;45.06.00;23.18;81.07.00;15.31;88.25.00;11.12;82.58.00;13.16;72.42.00;17.7;45.34.00;31.08.00;49.53.00;30.28.00;44.42.00;36.15.00;42.03.00;26.56.00
36;Cucumberhalf + parts;Universal;2;Natural;Savory;Raw;Food;56.12.00;168.35.00;121.39.00;11.28;57.18.00;162.10.00;85.44.00;0.10;58.51.00;18.04;17.16;74.34.00;46.40.00;7.05;18.36;17.43;78.47.00;1217;57.40.00;64.32.00;68.24.00;33.44.00;59.32.00;23.41;65.1;22.49;60.06.00;23.25;52.21.00;23.3;46.3;26.23.00;51.58.00;28.34.00;47.03.00;26.47.00;41.19.00;23.54;83.26.00;15.37;88.52.00;10.4;83.31.00;16.43;78.41.00;17.28;45.8;29.36.00;48.48.00;32.56.00;47.5;32.06.00;42.16.00;23.48
37;Eggs on bread;Western;2;Transformed;Savory;;Food;80.33.00;157.16.00;102.37.00;11.18;60.58.00;161.33.00;85.28.00;0.10;63.42.00;18.58;3.38;113.40.00;31.57.00;8.11;18.36;21.31;101.26.00;2486;96.41.00;72.41.00;61.11.00;32.48.00;55.48.00;25.12.00;65.15.00;24.31.00;58.08.00;25.03.00;45.24.00;23.49;49.19.00;27.29.00;58.15.00;28.25.00;47.16.00;30.11.00;44.03.00;22.07;40.46.00;18.42;43.29.00;21.15;39.26.00;18.27;40.19.00;16.28;52.13.00;30.03.00;56.21.00;33.08.00;53.43.00;33.03.00;47.06.00;24.14.00
38;Raspberries;Universal;Complex;Natural;Sweet;Raw;Food;39.27.00;55.52.00;177.05.00;10.15;57.00.00;162.54.00;68.32.00;0.10;51.54.00;15.28;11.12;8.10;41.23.00;9.25;11.06;17.54;62.03.00;1336;98.58.00;120.12.00;22.06;24.22.00;68.16.00;23.18;75.36.00;20.06;74.25.00;23.44;56.36.00;20.33;60.56.00;26.15.00;66.39.00;27.8;62.58.00;28.37.00;54.01.00;21.12;80.33.00;16.5;88.07.00;13.03;83.09.00;16.57;71;15.34;62.3;31.05.00;64.46.00;32.05.00;71.33.00;30.29.00;51.42.00;28.43.00
39;Raspberries + blueberries;Universal;Complex;Natural;Sweet;Raw;Food;58.45.00;110.51.00;189.18.00;14.01;48.44.00;160.53.00;75.06.00;0.10;61.01.00;18.24;13.28;32.50.00;45.00.00;15.50;16.33;21.19;89.23.00;2299;85.10.00;87.25.00;38.14.00;41.00.00;78.38.00;20.32;80.11.00;15.7;87.12.00;14.28;66.9;24.47.00;68.56.00;25.03.00;64.32.00;24.46.00;82.38.00;21.13;60.43.00;23.03;85.56.00;16.22;87.37.00;14.02;93.37.00;7.03;77.07.00;21.16;74;25.36.00;72.18.00;25.15.00;85.52.00;20.06;65.6;27.6
40;Frikandel;Western;2;Transformed;Savory;;Food;25.44.00;79.36.00;211.26.00;6.57;62.51.00;164.05.00;77.49.00;0.10;47.19.00;15.40;12.28;144.38.00;32.30.00;5.49;6.11;14.09;45.46.00;757;110.34.00;95.37.00;51.11.00;19.52;40.24.00;24.09.00;49.04.00;27.23.00;38.08.00;24.17.00;36.16.00;20.19;35.43.00;24.36.00;36.29.00;26.07.00;34.16.00;28.24.00;36.42.00;17.58;27.19.00;20.05;21.08;17.04;22.37;19.38;38.09.00;20.07;40.08.00;28.16.00;47.46.00;30.13.00;37.56.00;31.33.00;35.27.00;20.8
41;Frikandel parts;Western;4;Transformed;Savory;;Food;25.01.00;76.36.00;111.45.00;6.07;61.45.00;164.08.00;75.14.00;0.10;46.53.00;14.11;11.07;144.17.00;37.13.00;5.28;6.53;14.16;40.46.00;964;184.29.00;92.27.00;51.40.00;22.33;36.44.00;24.07.00;46.28.00;23.31;39.25.00;26.03.00;25.54.00;18.37;31.59.00;23.17;37.34.00;25.06.00;31.7;24.6;26.6;18.26;28.24.00;19.01;31.24.00;18.08;30.04.00;20.57;24.54.00;17.4;31.13.00;26.38.00;38.59.00;27.24.00;35.25.00;28.41.00;20.06;20.2
42;Mixed nuts;Universal;Complex;Transformed;Savory;;Food;47.15.00;126.57.00;75.15.00;11.54;54.59.00;161.47.00;70.54.00;0.10;56.59.00;17.50;15.24;66.09.00;45.00.00;9.39;13.53;20.52;83.02.00;2010;133.04.00;88.10.00;56.14.00;22.16;59.44.00;26.23.00;54.17.00;30.37.00;67.06.00;22.37;58.22.00;25.15.00;54.27.00;28.15.00;48.34.00;32.43.00;62.47.00;24.38.00;51.18.00;25.18.00;66.03.00;23.15;59.17.00;29.19.00;78.37.00;13.25;61.41.00;20.22;58.26.00;30.57.00;49.45.00;32.9;69.34.00;26.24.00;56.24.00;30.32.00
43;Orange cut;Universal;1;Natural;Sweet;Raw;Food;41.16.00;106.39.00;100.11.00;4.58;59.56.00;164.27.00;74.02.00;0.10;47.02.00;14.31;12.14;156.03.00;42.47.00;6.24;5.10;13.23;48.06.00;1869;181.57.00;96.47.00;60.38.00;9.15;73.56.00;19.39;71;21.43;76.43.00;20.2;74.11.00;16.26;62.25.00;25.51.00;58.33.00;27.22.00;60.19.00;29.22.00;67.43.00;19.9;84.05.00;15.05;87.46.00;11.08;82.21.00;18.18;82.11.00;15.08;64.01.00;29.02.00;57.21.00;32.24.00;64.29.00;27.39.00;71.37.00;24.41.00
